dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.393345,4.502982,0.000649,0.064935,3.246753,162.337662,6.244620
0.020000,4.393072,4.502992,0.000923,0.013675,-2.563014,-290.488340,6.244858
0.020000,4.392525,4.503013,0.001470,0.027370,0.684755,162.388450,6.245334
0.020000,4.391703,4.503044,0.002292,0.041106,0.686789,0.101679,6.246049
0.020000,4.392413,4.503019,0.003003,0.035511,-0.279735,-48.326177,6.247004
0.020000,4.404022,4.502605,0.014619,0.580805,27.264685,1377.220998,6.248202
0.020000,4.417936,4.502129,0.028541,0.696094,5.764462,-1075.011170,6.249646
0.020000,4.434156,4.501598,0.044770,0.811469,5.768763,0.215065,6.251338
0.020000,4.452691,4.501026,0.063314,0.927190,5.786055,0.864568,6.253286
0.020000,4.473523,4.500426,0.084154,1.041992,5.740101,-2.297710,6.255493
0.020000,4.496645,4.499814,0.107284,1.156520,5.726376,-0.686205,6.257965
0.020000,4.522050,4.499208,0.132696,1.270603,5.704176,-1.110026,6.260707
0.020000,4.549744,4.498627,0.160397,1.385028,5.721230,0.852721,6.263729
0.020000,4.579702,4.498093,0.190359,1.498110,5.654090,-3.357032,6.267038
0.020000,4.611914,4.497631,0.222575,1.610811,5.635066,-0.951176,6.270642
0.020000,4.646377,4.497266,0.257040,1.723238,5.621344,-0.686112,6.274552
0.020000,4.683078,4.497026,0.293741,1.835048,5.590517,-1.541359,6.278779
0.020000,4.721995,4.496943,0.332658,1.945860,5.540571,-2.497278,0.000149
0.020000,4.763116,4.497050,0.373780,2.056085,5.511241,-1.466524,0.005045
0.020000,4.806425,4.497382,0.417090,2.165502,5.470886,-2.017723,0.010298
0.020000,4.851899,4.497977,0.462567,2.273885,5.419145,-2.587054,0.015922
0.020000,4.899518,4.498878,0.510195,2.381387,5.375083,-2.203118,0.021935
0.020000,4.949266,4.500129,0.559959,2.488183,5.339828,-1.762723,0.028356
0.020000,5.001104,4.501776,0.611823,2.593208,5.251233,-4.429758,0.035203
0.020000,5.055005,4.503871,0.665765,2.697079,5.193547,-2.884317,0.042498
0.020000,5.110946,4.506466,0.721766,2.800065,5.149304,-2.212139,0.050268
0.020000,5.168883,4.509620,0.779789,2.901156,5.054553,-4.737532,0.058535
0.020000,5.228786,4.513394,0.839811,3.001089,4.996619,-2.896738,0.067329
0.020000,5.290602,4.517851,0.901787,3.098832,4.887178,-5.472029,0.076679
0.020000,5.354280,4.523060,0.965677,3.194507,4.783721,-5.172839,0.086618
0.020000,5.419779,4.529094,1.031454,3.288827,4.716024,-3.384850,0.097181
0.020000,5.487034,4.536030,1.099066,3.380598,4.588547,-6.373852,0.108406
0.020000,5.555980,4.543948,1.168465,3.469955,4.467864,-6.034140,0.120334
0.020000,5.626546,4.552932,1.239600,3.556755,4.340000,-6.393234,0.133008
0.020000,5.698661,4.563072,1.312424,3.641213,4.222888,-5.855576,0.146476
0.020000,5.772232,4.574461,1.386872,3.722384,4.058556,-8.216596,0.160788
0.020000,5.847174,4.587198,1.462889,3.800822,3.921911,-6.832244,0.175999
0.020000,5.923379,4.601382,1.540403,3.875703,3.744022,-8.894493,0.192163
0.020000,6.000738,4.617119,1.619346,3.947186,3.574158,-8.493171,0.209341
0.020000,6.079136,4.634518,1.699651,4.015254,3.403382,-8.538834,0.227595
0.020000,6.158441,4.653692,1.781242,4.079518,3.213235,-9.507307,0.246989
0.020000,6.238520,4.674756,1.864044,4.140121,3.030132,-9.155149,0.267590
0.020000,6.319221,4.697826,1.947978,4.196708,2.829338,-10.039707,0.289462
0.020000,6.400396,4.723023,2.032974,4.249761,2.652672,-8.833293,0.312672
0.020000,6.481881,4.750468,2.118957,4.299178,2.470828,-9.092206,0.337280
0.020000,6.563514,4.780286,2.205865,4.345414,2.311795,-7.951651,0.363344
0.020000,6.645124,4.812601,2.293640,4.388735,2.166094,-7.285072,0.390910
0.020000,6.726548,4.847541,2.382244,4.430206,2.073545,-4.627459,0.420016
0.020000,6.807617,4.885237,2.471649,4.470222,2.000803,-3.637066,0.450680
0.020000,6.888181,4.925825,2.561860,4.510546,2.016174,0.768537,0.482904
0.020000,6.968095,4.969450,2.652905,4.552284,2.086890,3.535787,0.516663
0.020000,7.047225,5.016260,2.744844,4.596934,2.232501,7.280574,0.551899
0.020000,7.125464,5.066423,2.837783,4.646946,2.500612,13.405539,0.588527
0.020000,7.202715,5.120119,2.931863,4.704014,2.853386,17.638711,0.626418
0.020000,7.278910,5.177549,3.027277,4.770688,3.333696,24.015466,0.665410
0.020000,7.353988,5.238928,3.124252,4.848752,3.903198,28.475146,0.705301
0.020000,7.427908,5.304497,3.223062,4.940491,4.586958,34.187964,0.745855
0.020000,7.500632,5.374508,3.324010,5.047388,5.344855,37.894848,0.786809
0.020000,7.572126,5.449224,3.427420,5.170548,6.157991,40.656833,0.827879
0.020000,7.642348,5.528911,3.533633,5.310621,7.003685,42.284664,0.868772
0.020000,7.711247,5.613823,3.642982,5.467440,7.840925,41.862031,0.909196
0.020000,7.778758,5.704198,3.755788,5.640335,8.644753,40.191394,0.948872
0.020000,7.844803,5.800242,3.872349,5.828037,9.385115,37.018068,0.987542
0.020000,7.909292,5.902124,3.992926,6.028829,10.039606,32.724588,1.024979
0.020000,7.972129,6.009968,4.117741,6.240754,10.596249,27.832132,1.060989
0.020000,8.033218,6.123851,4.246974,6.461660,11.045286,22.451836,1.095416
0.020000,8.092468,6.243806,4.380764,6.689498,11.391901,17.330768,1.128140
0.020000,8.149797,6.369823,4.519209,6.922236,11.636900,12.249938,1.159075
0.020000,8.205143,6.501854,4.662371,7.158104,11.793373,7.823636,1.188168
0.020000,8.258463,6.639821,4.810283,7.395593,11.874450,4.053856,1.215389
0.020000,8.309738,6.783622,4.962952,7.633476,11.894163,0.985671,1.240732
0.020000,8.358974,6.933140,5.120368,7.870804,11.866393,-1.388485,1.264206
0.020000,8.406203,7.088247,5.282506,8.106886,11.804136,-3.112864,1.285835
0.020000,8.451481,7.248809,5.449330,8.341185,11.714914,-4.461126,1.305647
0.020000,8.494890,7.414693,5.620800,8.573520,11.616750,-4.908197,1.323677
0.020000,8.536539,7.585774,5.796877,8.803843,11.516174,-5.028764,1.339961
0.020000,8.576555,7.761928,5.977519,9.032101,11.412898,-5.163843,1.354534
0.020000,8.614971,7.942453,6.162087,9.228380,9.813932,-79.948297,1.367388
0.020000,8.651743,8.126028,6.349308,9.361091,6.635554,-158.918858,1.378499
0.020000,8.686997,8.311893,6.538487,9.458929,4.891920,-87.181703,1.387908
0.020000,8.720987,8.499900,6.729541,9.552726,4.689863,-10.102878,1.395687
0.020000,8.753971,8.689917,6.922401,9.642959,4.511643,-8.910980,1.401896
0.020000,8.786210,8.881839,7.117011,9.730520,4.378032,-6.680565,1.406583
0.020000,8.817970,9.075572,7.313330,9.815953,4.271653,-5.318955,1.409783
0.020000,8.849519,9.271042,7.511330,9.899975,4.201102,-3.527553,1.411523
0.020000,8.881133,9.468187,7.710994,9.983224,4.162464,-1.931881,1.411815
0.020000,8.913097,9.666961,7.912321,10.066342,4.155897,-0.328377,1.410661
0.020000,8.945702,9.867324,8.115320,10.149968,4.181278,1.269073,1.408053
0.020000,8.979256,10.069250,8.320015,10.234736,4.238398,2.855982,1.403971
0.020000,9.014077,10.272719,8.526442,10.321358,4.331134,4.636797,1.398382
0.020000,9.050504,10.477716,8.734650,10.410386,4.451375,6.012082,1.391244
0.020000,9.088893,10.684232,8.944703,10.502678,4.614596,8.161046,1.382502
0.020000,9.129627,10.892255,9.156678,10.598717,4.801940,9.367209,1.372088
0.020000,9.173115,11.101779,9.370667,10.699474,5.037888,11.797400,1.359923
0.020000,9.219798,11.312786,9.586776,10.805457,5.299150,13.063085,1.345914
0.020000,9.270152,11.525250,9.805126,10.917483,5.601267,15.105846,1.329955
0.020000,9.324695,11.739131,10.025852,11.036274,5.939563,16.914791,1.311931
0.020000,9.383986,11.954363,10.249101,11.162471,6.309854,18.514564,1.291710
0.020000,9.448632,12.170849,10.475033,11.296599,6.706381,19.826344,1.269157
0.020000,9.519287,12.388445,10.703813,11.439000,7.120056,20.683767,1.244126
0.020000,9.596654,12.606947,10.935608,11.589748,7.537424,20.868376,1.216471
0.020000,9.681478,12.826076,11.170582,11.748693,7.947222,20.489933,1.186052
0.020000,9.774538,13.045451,11.408879,11.914851,8.307912,18.034474,1.152740
0.020000,9.876628,13.264574,11.650616,12.086869,8.600883,14.648545,1.116435
0.020000,9.988532,13.482798,11.895860,12.262187,8.765926,8.252154,1.077079
0.020000,10.110989,13.699319,12.144611,12.437536,8.767425,0.074964,1.034670
0.020000,10.244644,13.913153,12.396779,12.608411,8.543741,-11.184192,0.989287
0.020000,10.389987,14.123147,12.652165,12.769298,8.044350,-24.969574,0.941104
0.020000,10.547298,14.327991,12.910443,12.913925,7.231398,-40.647599,0.890403
0.020000,10.716584,14.526270,13.171158,13.035740,6.090725,-57.033651,0.837580
0.020000,10.897542,14.716528,13.433730,13.128585,4.642231,-72.424704,0.783142
0.020000,11.089540,14.897359,13.697478,13.187411,2.941340,-85.044566,0.727679
