dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.349006,3.353837,0.000649,0.064935,3.246753,162.337662,6.244620
0.020000,4.349006,3.353837,0.003247,0.194805,6.493506,162.337662,6.244858
0.020000,4.349006,3.353837,0.008442,0.324675,6.493506,0.000000,6.245334
0.020000,4.349006,3.353837,0.016234,0.454545,6.493506,0.000000,6.246049
0.020000,4.350814,3.353771,0.026623,0.584416,6.493506,-0.000000,6.247004
0.020000,4.363800,3.353309,0.039610,0.714286,6.493506,0.000000,6.248202
0.020000,4.379372,3.352775,0.055195,0.844156,6.493506,0.000000,6.249646
0.020000,4.397539,3.352181,0.073377,0.974026,6.493506,0.000000,6.251338
0.020000,4.418313,3.351540,0.094156,1.103896,6.493506,0.000000,6.253286
0.020000,4.441681,3.350866,0.117532,1.233766,6.493506,0.000000,6.255493
0.020000,4.467644,3.350179,0.143506,1.363636,6.493506,-0.000000,6.257965
0.020000,4.496202,3.349498,0.172078,1.493506,6.493506,0.000000,6.260707
0.020000,4.527371,3.348844,0.203247,1.623377,6.493506,0.000000,6.263729
0.020000,4.561133,3.348243,0.237013,1.753247,6.493506,0.000000,6.267038
0.020000,4.597490,3.347721,0.273377,1.883117,6.493506,0.000000,6.270642
0.020000,4.636449,3.347309,0.312338,2.012987,6.493506,0.000000,6.274552
0.020000,4.678010,3.347038,0.353896,2.142857,6.493506,-0.000000,6.278779
0.020000,4.722165,3.346943,0.398052,2.272727,6.493506,0.000000,0.000149
0.020000,4.768918,3.347064,0.444805,2.402597,6.493506,0.000000,0.005045
0.020000,4.818268,3.347443,0.494156,2.532468,6.493506,-0.000000,0.010298
0.020000,4.870209,3.348123,0.546104,2.662338,6.493506,0.000000,0.015922
0.020000,4.924741,3.349155,0.600649,2.792208,6.493506,0.000000,0.021935
0.020000,4.981871,3.350591,0.657792,2.922078,6.493506,-0.000000,0.028356
0.020000,5.041579,3.352489,0.717532,3.051948,6.493506,0.000000,0.035203
0.020000,5.103863,3.354909,0.779870,3.181818,6.493506,-0.000000,0.042498
0.020000,5.168729,3.357919,0.844805,3.311688,6.493506,0.000000,0.050268
0.020000,5.236160,3.361590,0.912338,3.441558,6.493506,-0.000000,0.058535
0.020000,5.306156,3.365999,0.982468,3.571429,6.493506,0.000000,0.067329
0.020000,5.378697,3.371230,1.055195,3.701299,6.493506,-0.000000,0.076679
0.020000,5.453766,3.377371,1.130519,3.831169,6.493506,0.000000,0.086618
0.020000,5.531361,3.384521,1.208442,3.961039,6.493506,-0.000000,0.097181
0.020000,5.611457,3.392781,1.288961,4.090909,6.493506,0.000000,0.108406
0.020000,5.694030,3.402264,1.372078,4.220779,6.493506,0.000000,0.120334
0.020000,5.779054,3.413089,1.457792,4.350649,6.493506,-0.000000,0.133008
0.020000,5.866507,3.425387,1.546104,4.480519,6.493506,0.000000,0.146476
0.020000,5.956343,3.439295,1.637013,4.610390,6.493506,0.000000,0.160788
0.020000,6.048529,3.454963,1.730519,4.740260,6.493506,-0.000000,0.175999
0.020000,6.143009,3.472549,1.826623,4.870130,6.493506,0.000000,0.192163
0.020000,6.239726,3.492225,1.925325,5.000000,6.493506,0.000000,0.209341
0.020000,6.338616,3.514175,2.026623,5.129870,6.493506,0.000000,0.227595
0.020000,6.439599,3.538591,2.130519,5.259740,6.493506,0.000000,0.246989
0.020000,6.542589,3.565683,2.237013,5.389610,6.493506,-0.000000,0.267590
0.020000,6.647474,3.595668,2.346104,5.519481,6.493506,0.000000,0.289462
0.020000,6.754138,3.628780,2.457792,5.649351,6.493506,0.000000,0.312672
0.020000,6.862441,3.665261,2.572078,5.779221,6.493506,-0.000000,0.337280
0.020000,6.972226,3.705365,2.688961,5.909091,6.493506,0.000000,0.363344
0.020000,7.083308,3.749353,2.808442,6.038961,6.493506,0.000000,0.390910
0.020000,7.195489,3.797496,2.930519,6.168831,6.493506,0.000000,0.420016
0.020000,7.308532,3.850063,3.055195,6.298701,6.493506,0.000000,0.450680
0.020000,7.422187,3.907328,3.182468,6.428571,6.493506,-0.000000,0.482904
0.020000,7.536174,3.969556,3.312338,6.558442,6.493506,0.000000,0.516663
0.020000,7.650176,4.037000,3.444805,6.688312,6.493506,-0.000000,0.551899
0.020000,7.763870,4.109900,3.579870,6.818182,6.493506,0.000000,0.588527
0.020000,7.876899,4.188466,3.717532,6.948052,6.493506,0.000000,0.626418
0.020000,7.988899,4.272886,3.857792,7.077922,6.493506,0.000000,0.665410
0.020000,8.099490,4.363299,4.000649,7.207792,6.493506,0.000000,0.705301
0.020000,8.208298,4.459813,4.146104,7.337662,6.493506,-0.000000,0.745855
0.020000,8.314952,4.562484,4.294156,7.467532,6.493506,0.000000,0.786809
0.020000,8.419099,4.671319,4.444805,7.597403,6.493506,0.000000,0.827879
0.020000,8.520415,4.786281,4.598052,7.727273,6.493506,-0.000000,0.868772
0.020000,8.618609,4.907286,4.753896,7.857143,6.493506,0.000000,0.909196
0.020000,8.713430,5.034207,4.912338,7.987013,6.493506,0.000000,0.948872
0.020000,8.804678,5.166887,5.073377,8.116883,6.493506,-0.000000,0.987542
0.020000,8.892200,5.305139,5.237013,8.246753,6.493506,0.000000,1.024979
0.020000,8.975894,5.448757,5.403247,8.376623,6.493506,-0.000000,1.060989
0.020000,9.055705,5.597522,5.572078,8.506494,6.493506,0.000000,1.095416
0.020000,9.131627,5.751213,5.743506,8.636364,6.493506,0.000000,1.128140
0.020000,9.203696,5.909608,5.917532,8.766234,6.493506,-0.000000,1.159075
0.020000,9.271983,6.072490,6.094156,8.896104,6.493506,0.000000,1.188168
0.020000,9.336594,6.239653,6.273377,9.025974,6.493506,-0.000000,1.215389
0.020000,9.397663,6.410902,6.455195,9.155844,6.493506,0.000000,1.240732
0.020000,9.455348,6.586059,6.639610,9.285714,6.493506,0.000000,1.264206
0.020000,9.509826,6.764958,6.826623,9.415584,6.493506,-0.000000,1.285835
0.020000,9.561292,6.947447,7.016234,9.545455,6.493506,0.000000,1.305647
0.020000,9.609955,7.133390,7.208442,9.675325,6.493506,-0.000000,1.323677
0.020000,9.656036,7.322665,7.403247,9.805195,6.493506,0.000000,1.339961
0.020000,9.699767,7.515160,7.600649,9.935065,6.493506,0.000000,1.354534
0.020000,9.741262,7.710143,7.800000,10.000000,3.246753,-162.337662,1.367388
0.020000,9.780546,7.906247,8.000000,10.000000,0.000000,-162.337662,1.378499
0.020000,9.817818,8.102742,8.200000,10.000000,0.000000,0.000000,1.387908
0.020000,9.853401,8.299551,8.400000,10.000000,0.000000,0.000000,1.395687
0.020000,9.887607,8.496604,8.600000,10.000000,0.000000,0.000000,1.401896
0.020000,9.920740,8.693840,8.800000,10.000000,0.000000,0.000000,1.406583
0.020000,9.953095,8.891206,9.000000,10.000000,0.000000,0.000000,1.409783
0.020000,9.984963,9.088651,9.200000,10.000000,0.000000,0.000000,1.411523
0.020000,10.016631,9.286128,9.400000,10.000000,0.000000,0.000000,1.411815
0.020000,10.048383,9.483592,9.600000,10.000000,0.000000,0.000000,1.410661
0.020000,10.080507,9.680995,9.800000,10.000000,0.000000,0.000000,1.408053
0.020000,10.113290,9.878290,10.000000,10.000000,0.000000,0.000000,1.403971
0.020000,10.147027,10.075424,10.200000,10.000000,0.000000,0.000000,1.398382
0.020000,10.182016,10.272339,10.400000,10.000000,0.000000,0.000000,1.391244
0.020000,10.218567,10.468971,10.600000,10.000000,0.000000,0.000000,1.382502
0.020000,10.256998,10.665242,10.800000,10.000000,0.000000,0.000000,1.372088
0.020000,10.297641,10.861068,11.000000,10.000000,0.000000,0.000000,1.359923
0.020000,10.340841,11.056346,11.200000,10.000000,0.000000,0.000000,1.345914
0.020000,10.386961,11.250953,11.400000,10.000000,0.000000,0.000000,1.329955
0.020000,10.436378,11.444749,11.600000,10.000000,0.000000,0.000000,1.311931
0.020000,10.489490,11.637564,11.800000,10.000000,0.000000,0.000000,1.291710
0.020000,10.546710,11.829200,12.000000,10.000000,0.000000,0.000000,1.269157
0.020000,10.608471,12.019420,12.200000,10.000000,0.000000,0.000000,1.244126
0.020000,10.675217,12.207946,12.400000,10.000000,0.000000,0.000000,1.216471
0.020000,10.747407,12.394455,12.600000,10.000000,0.000000,0.000000,1.186052
0.020000,10.825499,12.578569,12.800000,10.000000,0.000000,0.000000,1.152740
0.020000,10.909950,12.759852,13.000000,10.000000,0.000000,0.000000,1.116435
0.020000,11.001196,12.937810,13.200000,10.000000,0.000000,0.000000,1.077079
0.020000,11.099638,13.111888,13.400000,10.000000,0.000000,0.000000,1.034670
0.020000,11.205624,13.281475,13.600000,10.000000,0.000000,0.000000,0.989287
0.020000,11.319427,13.445916,13.800000,10.000000,0.000000,0.000000,0.941104
0.020000,11.441222,13.604527,14.000000,10.000000,0.000000,0.000000,0.890403
0.020000,11.571064,13.756618,14.200000,10.000000,0.000000,0.000000,0.837580
0.020000,11.708878,13.901522,14.400000,10.000000,0.000000,0.000000,0.783142
0.020000,11.854449,14.038630,14.600000,10.000000,0.000000,0.000000,0.727679
0.020000,12.007427,14.167420,14.800000,10.000000,0.000000,0.000000,0.671836
0.020000,12.167347,14.287485,15.000000,10.000000,0.000000,0.000000,0.616269
0.020000,12.333642,14.398549,15.200000,10.000000,0.000000,0.000000,0.561605
0.020000,12.505689,14.500480,15.400000,10.000000,0.000000,0.000000,0.508395
0.020000,12.682831,14.593282,15.600000,10.000000,0.000000,0.000000,0.457097
0.020000,12.864405,14.677079,15.800000,10.000000,0.000000,0.000000,0.408055
0.020000,13.043800,14.751059,16.000000,10.000000,0.000000,0.000000,0.397395
0.020000,13.225842,14.833818,16.200000,10.000000,0.000000,0.000000,0.455830
0.020000,13.402797,14.926963,16.400000,10.000000,0.000000,0.000000,0.512914
0.020000,13.574264,15.029867,16.600000,10.000000,0.000000,0.000000,0.567667
0.020000,13.740016,15.141748,16.800000,10.000000,0.000000,0.000000,0.619225
0.020000,13.900012,15.261721,17.000000,10.000000,0.000000,0.000000,0.666895
0.020000,14.054387,15.388852,17.200000,10.000000,0.000000,0.000000,0.710174
0.020000,14.203431,15.522196,17.400000,10.000000,0.000000,0.000000,0.748738
0.020000,14.347564,15.660840,17.600000,10.000000,0.000000,0.000000,0.782417
0.020000,14.487302,15.803915,17.800000,10.000000,0.000000,0.000000,0.811157
