dt,x,y,position,velocity,acceleration,jerk,heading
0.020000,4.304668,2.204692,0.000649,0.064935,3.246753,162.337662,6.244620
0.020000,4.304941,2.204681,0.000923,0.013675,-2.563014,-290.488340,6.244858
0.020000,4.305488,2.204661,0.001470,0.027370,0.684755,162.388450,6.245334
0.020000,4.306309,2.204630,0.002292,0.041106,0.686789,0.101679,6.246049
0.020000,4.309214,2.204524,0.005199,0.145347,5.212072,226.264146,6.247004
0.020000,4.323577,2.204013,0.019571,0.718590,28.662169,1172.504838,6.248202
0.020000,4.340809,2.203422,0.036813,0.862082,7.174561,-1074.380370,6.249646
0.020000,4.360921,2.202764,0.056936,1.006151,7.203466,1.445225,6.251338
0.020000,4.383934,2.202054,0.079960,1.151208,7.252869,2.470153,6.253286
0.020000,4.409839,2.201307,0.105875,1.295773,7.228238,-1.231551,6.255493
0.020000,4.438644,2.200545,0.134690,1.440737,7.248173,0.996736,6.257965
0.020000,4.470354,2.199789,0.166410,1.585984,7.262387,0.710714,6.260707
0.020000,4.504999,2.199062,0.201062,1.732601,7.330819,3.421631,6.263729
0.020000,4.542564,2.198393,0.238634,1.878589,7.299395,-1.571245,6.267038
0.020000,4.583065,2.197812,0.279139,2.025263,7.333702,1.715374,6.270642
0.020000,4.626521,2.197352,0.322596,2.172880,7.380845,2.357127,6.274552
0.020000,4.672942,2.197049,0.369019,2.321140,7.413006,1.608082,6.278779
0.020000,4.722336,2.196943,0.418413,2.469695,7.427787,0.739018,0.000149
0.020000,4.774720,2.197079,0.470797,2.619215,7.475984,2.409874,0.005045
0.020000,4.830110,2.197504,0.526189,2.769578,7.518140,2.107795,0.010298
0.020000,4.888519,2.198269,0.584602,2.920661,7.554179,1.801945,0.015922
0.020000,4.949964,2.199432,0.646059,3.072845,7.609156,2.748859,0.021935
0.020000,5.014475,2.201054,0.710590,3.226556,7.685578,3.821115,0.028356
0.020000,5.082054,2.203201,0.778203,3.380625,7.703438,0.892977,0.035203
0.020000,5.152722,2.205947,0.848924,3.536076,7.772544,3.455315,0.042498
0.020000,5.226513,2.209371,0.922795,3.693515,7.871965,4.971047,0.050268
0.020000,5.303436,2.213559,0.999832,3.851881,7.918296,2.316566,0.058535
0.020000,5.383526,2.218605,1.080081,4.012435,8.027697,5.470049,0.067329
0.020000,5.466792,2.224609,1.163563,4.174112,8.083850,2.807615,0.076679
0.020000,5.553251,2.231683,1.250311,4.337389,8.163864,4.000710,0.086618
0.020000,5.642943,2.239947,1.340383,4.503597,8.310375,7.325578,0.097181
0.020000,5.735880,2.249532,1.433813,4.671487,8.394520,4.207204,0.108406
0.020000,5.832080,2.260580,1.530645,4.841635,8.507385,5.643271,0.120334
0.020000,5.931562,2.273246,1.630930,5.014256,8.631038,6.182634,0.133008
0.020000,6.034353,2.287702,1.734732,5.190096,8.792019,8.049070,0.146476
0.020000,6.140454,2.304128,1.842098,5.368264,8.908377,5.817910,0.160788
0.020000,6.249885,2.322728,1.953098,5.550002,9.086934,8.927824,0.175999
0.020000,6.362639,2.343717,2.067789,5.734561,9.227918,7.049195,0.192163
0.020000,6.478713,2.367332,2.186241,5.922585,9.401236,8.665915,0.209341
0.020000,6.598096,2.393831,2.308529,6.114434,9.592444,9.560419,0.227595
0.020000,6.720758,2.423490,2.434726,6.309829,9.769764,8.866004,0.246989
0.020000,6.846658,2.456610,2.564910,6.509185,9.967757,9.899644,0.267590
0.020000,6.975726,2.493511,2.699149,6.711983,10.139916,8.607944,0.289462
0.020000,7.107881,2.534538,2.837525,6.918815,10.341599,10.084143,0.312672
0.020000,7.243002,2.580054,2.980107,7.129062,10.512351,8.537619,0.337280
0.020000,7.380938,2.630445,3.126960,7.342648,10.679278,8.346348,0.363344
0.020000,7.521493,2.686106,3.278134,7.558726,10.803934,6.232760,0.390910
0.020000,7.664430,2.747452,3.433680,7.777270,10.927184,6.162523,0.420016
0.020000,7.809446,2.814889,3.593609,7.996457,10.959381,1.609833,0.450680
0.020000,7.956194,2.888830,3.757932,8.216163,10.985270,1.294475,0.482904
0.020000,8.104252,2.969663,3.926619,8.434353,10.909524,-3.787326,0.516663
0.020000,8.253128,3.057740,4.099597,8.648915,10.728077,-9.072343,0.551899
0.020000,8.402276,3.153376,4.276774,8.858847,10.496625,-11.572581,0.588527
0.020000,8.551082,3.256814,4.457999,9.061230,10.119105,-18.876017,0.626418
0.020000,8.698888,3.368222,4.643090,9.254532,9.665108,-22.699832,0.665410
0.020000,8.844993,3.487670,4.831807,9.435878,9.067322,-29.889300,0.705301
0.020000,8.988688,3.615129,5.023886,9.603924,8.402318,-33.250214,0.745855
0.020000,9.129271,3.750459,5.219021,9.756781,7.642849,-37.973446,0.786809
0.020000,9.266072,3.893414,5.416886,9.893249,6.823382,-40.973370,0.827879
0.020000,9.398482,4.043652,5.617146,10.012969,5.986005,-41.868848,0.868772
0.020000,9.525970,4.200748,5.819463,10.115869,5.144988,-42.050850,0.909196
